id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0537,Jelebu,Jelebu,jelebu-0537,0537,16,3.064,102.051
0538,Jempol,Jempol,jempol-0538,0538,12,2.829,102.399
0539,Kuala Pilah,Kuala Pilah,kuala-pilah-0539,0539,23,2.731,102.206
0540,Port Dickson,Port Dickson,port-dickson-0540,0540,20,2.549,101.849
0541,Rembau,Rembau,rembau-0541,0541,26,2.559,102.108
0542,Seremban,Seremban,seremban-0542,0542,41,2.745,101.966
0543,Tampin,Tampin,tampin-0543,0543,16,2.537,102.507
