id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0769,Barat Daya,Barat Daya,barat-daya-0769,0769,12,5.355,100.233
0770,Seberang Perai Selatan,Seberang Perai Selatan,seberang-perai-selatan-0770,0770,6,5.252,100.455
0771,Seberang Perai Tengah,Seberang Perai Tengah,seberang-perai-tengah-0771,0771,11,5.384,100.443
0772,Seberang Perai Utara,Seberang Perai Utara,seberang-perai-utara-0772,0772,3,5.467,100.433
0773,Timur Laut,Timur Laut,timur-laut-0773,0773,15,5.379,100.297
