id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0644,Bentong,Bentong,bentong-0644,0644,6,3.377,102.033
0645,Bera,Bera,bera-0645,0645,7,3.205,102.581
0646,Cameron Highlands,Cameron Highlands,cameron-highlands-0646,0646,7,4.473,101.433
0647,Jerantut,Jerantut,jerantut-0647,0647,14,4.277,102.515
0648,Kuantan,Kuantan,kuantan-0648,0648,9,3.948,103.122
0649,Lipis,Lipis,lipis-0649,0649,20,4.32,101.906
0650,Maran,Maran,maran-0650,0650,8,3.619,102.676
0651,Pekan,Pekan,pekan-0651,0651,16,3.324,103.074
0652,Raub,Raub,raub-0652,0652,13,3.86,101.866
0653,Rompin,Rompin,rompin-0653,0653,13,2.874,103.679
0654,Temerloh,Temerloh,temerloh-0654,0654,15,3.618,102.238
