id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
13127-005,AWIK-KRIAN LAND DISTRICT,AWIK-KRIAN LAND DISTRICT,awik-krian-land-district-13127-005,13127-005,1.769,111.38
13127-003,BUDU LAND DISTRICT,BUDU LAND DISTRICT,budu-land-district-13127-003,13127-003,1.759,111.524
13127-002,KABA TOWN DISTRICT,KABA TOWN DISTRICT,kaba-town-district-13127-002,13127-002,1.728,111.208
13127-001,KAKI WONG TOWN DISTRICT,KAKI WONG TOWN DISTRICT,kaki-wong-town-district-13127-001,13127-001,1.737,111.457
13127-004,SARATOK TOWN DISTRICT,SARATOK TOWN DISTRICT,saratok-town-district-13127-004,13127-004,1.74,111.338
