id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
10141,Gombak,Gombak,gombak-10141,10141,17,3.254,101.678
10142,Klang,Klang,klang-10142,10142,12,3.005,101.362
10143,Kuala Langat,Kuala Langat,kuala-langat-10143,10143,26,2.844,101.422
10144,Kuala Selangor,Kuala Selangor,kuala-selangor-10144,10144,25,3.321,101.325
10145,Petaling,Petaling,petaling-10145,10145,31,3.091,101.591
10146,Sabak Bernam,Sabak Bernam,sabak-bernam-10146,10146,18,3.741,101.106
10147,Sepang,Sepang,sepang-10147,10147,16,2.797,101.701
10148,Ulu Langat,Ulu Langat,ulu-langat-10148,10148,40,3.113,101.834
10149,Ulu Selangor,Ulu Selangor,ulu-selangor-10149,10149,27,3.572,101.562
