id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0434,Alor Gajah,Alor Gajah,alor-gajah-0434,0434,38,2.377,102.174
0435,Jasin,Jasin,jasin-0435,0435,30,2.218,102.436
0436,Melaka Tengah,Melaka Tengah,melaka-tengah-0436,0436,39,2.244,102.271
