id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0323,Bachok,Bachok,bachok-0323,0323,31,5.958,102.347
0324,Gua Musang,Gua Musang,gua-musang-0324,0324,14,4.919,102.158
0325,Jeli,Jeli,jeli-0325,0325,6,5.655,101.818
0326,Kecil Lojing,Kecil Lojing,kecil-lojing-0326,0326,7,4.733,101.527
0327,Kota Bharu,Kota Bharu,kota-bharu-0327,0327,85,6.049,102.27
0328,Kuala Krai,Kuala Krai,kuala-krai-0328,0328,17,5.533,102.231
0329,Machang,Machang,machang-0329,0329,23,5.763,102.272
0330,Pasir Mas,Pasir Mas,pasir-mas-0330,0330,43,6.009,102.076
0331,Pasir Puteh,Pasir Puteh,pasir-puteh-0331,0331,34,5.873,102.35
0332,Tanah Merah,Tanah Merah,tanah-merah-0332,0332,13,5.75,102.021
0333,Tumpat,Tumpat,tumpat-0333,0333,29,6.166,102.164
