id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
0855,Bagan Datuk,Bagan Datuk,bagan-datuk-0855,0855,10,3.851,100.991
0856,Batang Padang,Batang Padang,batang-padang-0856,0856,16,4.241,101.36
0857,Hilir Perak,Hilir Perak,hilir-perak-0857,0857,10,4.041,100.994
0858,Hulu Perak,Hulu Perak,hulu-perak-0858,0858,20,5.374,101.278
0859,Kampar,Kampar,kampar-0859,0859,6,4.412,101.24
0860,Kerian,Kerian,kerian-0860,0860,18,5.029,100.545
0861,Kinta,Kinta,kinta-0861,0861,20,4.568,101.136
0862,Kuala Kangsar,Kuala Kangsar,kuala-kangsar-0862,0862,17,4.819,101.145
0863,Larut Dan Matang,Larut Dan Matang,larut-dan-matang-0863,0863,17,4.806,100.721
0864,Manjung,Manjung,manjung-0864,0864,21,4.23,100.622
0865,Muallim,Muallim,muallim-0865,0865,7,3.852,101.452
0866,Perak Tengah,Perak Tengah,perak-tengah-0866,0866,18,4.225,100.916
0867,Selama,Selama,selama-0867,0867,5,5.223,100.834
