id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
13101,Asajaya,Asajaya,asajaya-13101,13101,2,1.543,110.63
13102,Bau,Bau,bau-13102,13102,13,1.375,110.089
13103,Belaga,Belaga,belaga-13103,13103,6,2.67,114.332
13104,Beluru,Beluru,beluru-13104,13104,7,3.512,114.255
13105,Betong,Betong,betong-13105,13105,11,1.529,111.499
13106,Bintulu,Bintulu,bintulu-13106,13106,2,3.293,113.204
13107,Bukit Mabong,Bukit Mabong,bukit-mabong-13107,13107,7,1.681,113.729
13108,Dalat,Dalat,dalat-13108,13108,2,2.697,111.988
13109,Daro,Daro,daro-13109,13109,3,2.459,111.483
13110,Julau,Julau,julau-13110,13110,5,1.832,111.958
13111,Kabong,Kabong,kabong-13111,13111,5,1.912,111.235
13112,Kanowit,Kanowit,kanowit-13112,13112,8,1.922,112.256
13113,Kapit,Kapit,kapit-13113,13113,8,2.253,113.189
13114,Kuching,Kuching,kuching-13114,13114,11,1.533,110.334
13115,Lawas,Lawas,lawas-13115,13115,12,4.504,115.436
13116,Limbang,Limbang,limbang-13116,13116,9,4.374,115.07
13117,Lubok Antu,Lubok Antu,lubok-antu-13117,13117,11,1.307,111.911
13118,Lundu,Lundu,lundu-13118,13118,8,1.736,109.809
13119,Maradong,Maradong,maradong-13119,13119,4,2.2,111.617
13120,Marudi,Marudi,marudi-13120,13120,7,4.108,114.551
13121,Matu,Matu,matu-13121,13121,5,2.64,111.67
13122,Miri,Miri,miri-13122,13122,8,3.761,115.075
13123,Mukah,Mukah,mukah-13123,13123,5,2.825,112.554
13124,Pakan,Pakan,pakan-13124,13124,2,1.791,111.704
13125,Pusa,Pusa,pusa-13125,13125,6,1.546,111.164
13126,Samarahan,Samarahan,samarahan-13126,13126,3,1.448,110.479
13127,Saratok,Saratok,saratok-13127,13127,5,1.787,111.486
13128,Sarikei,Sarikei,sarikei-13128,13128,4,2.097,111.411
13129,Sebauh,Sebauh,sebauh-13129,13129,11,3.17,113.621
13130,Selangau,Selangau,selangau-13130,13130,7,2.561,112.583
13131,Serian,Serian,serian-13131,13131,20,1.1,110.645
13132,Sibu,Sibu,sibu-13132,13132,10,2.275,111.821
13133,Simunjan,Simunjan,simunjan-13133,13133,9,1.284,110.894
13134,Song,Song,song-13134,13134,5,1.743,112.482
13135,Sri Aman,Sri Aman,sri-aman-13135,13135,14,1.172,111.279
13136,Subis,Subis,subis-13136,13136,9,3.658,113.752
13137,Tanjung Manis,Tanjung Manis,tanjung-manis-13137,13137,5,2.256,111.343
13138,Tatau,Tatau,tatau-13138,13138,5,2.644,112.968
13139,Tebedu,Tebedu,tebedu-13139,13139,5,0.987,110.423
13140,Telang Usan,Telang Usan,telang-usan-13140,13140,6,3.389,114.732
