id,name.local,name.en,name.slug,code.id,children_count.mukim,geo.lat,geo.lon
1274,Beaufort,Beaufort,beaufort-1274,1274,0,5.287,115.744
1275,Beluran,Beluran,beluran-1275,1275,0,6.238,117.451
1276,Kalabakan,Kalabakan,kalabakan-1276,1276,0,4.398,117.507
1277,Keningau,Keningau,keningau-1277,1277,0,5.361,116.308
1278,Kinabatangan,Kinabatangan,kinabatangan-1278,1278,0,5.48,118.123
1279,Kota Belud,Kota Belud,kota-belud-1279,1279,0,6.393,116.462
1280,Kota Kinabalu,Kota Kinabalu,kota-kinabalu-1280,1280,0,6.015,116.103
1281,Kota Marudu,Kota Marudu,kota-marudu-1281,1281,0,6.47,116.764
1282,Kuala Penyu,Kuala Penyu,kuala-penyu-1282,1282,0,5.469,115.505
1283,Kudat,Kudat,kudat-1283,1283,0,7.12,117.119
1284,Kunak,Kunak,kunak-1284,1284,0,4.709,118.158
1285,Lahad Datu,Lahad Datu,lahad-datu-1285,1285,0,5.03,118.4
1286,Nabawan,Nabawan,nabawan-1286,1286,0,4.584,116.509
1287,Papar,Papar,papar-1287,1287,0,5.607,116.051
1288,Penampang,Penampang,penampang-1288,1288,0,5.865,116.197
1289,Pitas,Pitas,pitas-1289,1289,0,6.783,117.152
1290,Putatan,Putatan,putatan-1290,1290,0,5.892,116.061
1291,Ranau,Ranau,ranau-1291,1291,0,5.874,116.758
1292,Sandakan,Sandakan,sandakan-1292,1292,0,5.813,118.031
1293,Semporna,Semporna,semporna-1293,1293,0,4.573,118.52
1294,Sipitang,Sipitang,sipitang-1294,1294,0,4.678,115.715
1295,Tambunan,Tambunan,tambunan-1295,1295,0,5.719,116.421
1296,Tawau,Tawau,tawau-1296,1296,0,4.457,118.041
1297,Telupid,Telupid,telupid-1297,1297,0,5.827,117.165
1298,Tenom,Tenom,tenom-1298,1298,0,4.922,115.899
1299,Tongod,Tongod,tongod-1299,1299,0,5.045,116.895
12100,Tuaran,Tuaran,tuaran-12100,12100,0,6.052,116.289
