# Data from Open Admin Data (https://openadmindata.org/my/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/malaysia-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.state,children_count.district,children_count.mukim,zip_codes,geo.lat,geo.lon,source_url
01,1,Negeri,State,Johor,Johor,johor-01,01,,,,,,10,95,,1.852,103.792,https://openadmindata.org/my/states/johor-01/
0101,2,Daerah,District,Batu Pahat,Batu Pahat,batu-pahat-0101,0101,,01,Johor,Johor,,,15,,1.878,103.04,
0102,2,Daerah,District,Johor Bahru,Johor Bahru,johor-bahru-0102,0102,,01,Johor,Johor,,,5,,1.532,103.741,
0103,2,Daerah,District,Kluang,Kluang,kluang-0103,0103,,01,Johor,Johor,,,7,,1.976,103.428,
0104,2,Daerah,District,Kota Tinggi,Kota Tinggi,kota-tinggi-0104,0104,,01,Johor,Johor,,,10,,1.67,103.994,
0105,2,Daerah,District,Kulai,Kulai,kulai-0105,0105,,01,Johor,Johor,,,5,,1.655,103.587,
0106,2,Daerah,District,Mersing,Mersing,mersing-0106,0106,,01,Johor,Johor,,,7,,2.425,104.05,
0107,2,Daerah,District,Muar,Muar,muar-0107,0107,,01,Johor,Johor,,,14,,2.199,102.758,
0108,2,Daerah,District,Pontian,Pontian,pontian-0108,0108,,01,Johor,Johor,,,11,,1.502,103.414,
0109,2,Daerah,District,Segamat,Segamat,segamat-0109,0109,,01,Johor,Johor,,,13,,2.438,102.787,
0110,2,Daerah,District,Tangkak,Tangkak,tangkak-0110,0110,,01,Johor,Johor,,,8,,2.25,102.583,
02,1,Negeri,State,Kedah,Kedah,kedah-02,02,,,,,,12,212,,6.128,100.333,https://openadmindata.org/my/states/kedah-02/
0211,2,Daerah,District,Baling,Baling,baling-0211,0211,,02,Kedah,Kedah,,,17,,5.645,100.8,
0212,2,Daerah,District,Bandar Baharu,Bandar Baharu,bandar-baharu-0212,0212,,02,Kedah,Kedah,,,12,,5.193,100.601,
0213,2,Daerah,District,Kota Setar,Kota Setar,kota-setar-0213,0213,,02,Kedah,Kedah,,,27,,6.125,100.406,
0214,2,Daerah,District,Kuala Muda,Kuala Muda,kuala-muda-0214,0214,,02,Kedah,Kedah,,,26,,5.66,100.515,
0215,2,Daerah,District,Kubang Pasu,Kubang Pasu,kubang-pasu-0215,0215,,02,Kedah,Kedah,,,34,,6.345,100.431,
0216,2,Daerah,District,Kulim,Kulim,kulim-0216,0216,,02,Kedah,Kedah,,,24,,5.41,100.682,
0217,2,Daerah,District,Langkawi,Langkawi,langkawi-0217,0217,,02,Kedah,Kedah,,,9,,6.298,99.815,
0218,2,Daerah,District,Padang Terap,Padang Terap,padang-terap-0218,0218,,02,Kedah,Kedah,,,18,,6.176,100.684,
0219,2,Daerah,District,Pendang,Pendang,pendang-0219,0219,,02,Kedah,Kedah,,,14,,5.997,100.552,
0220,2,Daerah,District,Pokok Sena,Pokok Sena,pokok-sena-0220,0220,,02,Kedah,Kedah,,,6,,6.178,100.516,
0221,2,Daerah,District,Sik,Sik,sik-0221,0221,,02,Kedah,Kedah,,,14,,5.991,100.816,
0222,2,Daerah,District,Yan,Yan,yan-0222,0222,,02,Kedah,Kedah,,,11,,5.833,100.352,
03,1,Negeri,State,Kelantan,Kelantan,kelantan-03,03,,,,,,11,302,,5.629,101.943,https://openadmindata.org/my/states/kelantan-03/
0323,2,Daerah,District,Bachok,Bachok,bachok-0323,0323,,03,Kelantan,Kelantan,,,31,,5.958,102.347,
0324,2,Daerah,District,Gua Musang,Gua Musang,gua-musang-0324,0324,,03,Kelantan,Kelantan,,,14,,4.919,102.158,
0325,2,Daerah,District,Jeli,Jeli,jeli-0325,0325,,03,Kelantan,Kelantan,,,6,,5.655,101.818,
0326,2,Daerah,District,Kecil Lojing,Kecil Lojing,kecil-lojing-0326,0326,,03,Kelantan,Kelantan,,,7,,4.733,101.527,
0327,2,Daerah,District,Kota Bharu,Kota Bharu,kota-bharu-0327,0327,,03,Kelantan,Kelantan,,,85,,6.049,102.27,
0328,2,Daerah,District,Kuala Krai,Kuala Krai,kuala-krai-0328,0328,,03,Kelantan,Kelantan,,,17,,5.533,102.231,
0329,2,Daerah,District,Machang,Machang,machang-0329,0329,,03,Kelantan,Kelantan,,,23,,5.763,102.272,
0330,2,Daerah,District,Pasir Mas,Pasir Mas,pasir-mas-0330,0330,,03,Kelantan,Kelantan,,,43,,6.009,102.076,
0331,2,Daerah,District,Pasir Puteh,Pasir Puteh,pasir-puteh-0331,0331,,03,Kelantan,Kelantan,,,34,,5.873,102.35,
